# z       Lx0124      eLx         LAMBDACHISQ   LAMBDACHISQE  
  0.524   4.4769E44   1.9398E44   6.3350277     21.544508     
  0.559   5.2198E44   2.3449E44   22.978205     14.684114     
  0.333   4.7318E44   1.0773E44   5.8926334     1.7952913     
  0.237   7.3307E43   3.1955E43   12.284468     1.8481089     
  0.571   6.3611E44   2.5126E44   6.106203      10.039187     
  0.249   9.3289E43   3.2591E43   5.007845      1.6335006     
  0.269   1.337E44    4.1505E43   52.191483     4.6110907     
  0.503   6.3257E44   2.5602E44   12.086153     6.395619      
  0.515   9.4101E44   3.5051E44   9.035158      10.410537     
  0.414   3.7733E44   1.3485E44   7.5859356     8.9466        
  0.638   4.6004E44   2.3587E44   15.915152     25.673895     
  0.196   5.2485E43   2.2435E43   18.935637     2.0654278     
  0.358   1.8114E44   7.8051E43   9.919947      2.1778762     
  0.6     6.1142E44   2.1517E44   7.7842503     34.933002     
  0.435   4.5824E44   1.3652E44   96.88856      10.377298     
  0.451   4.4559E44   1.4772E44   5.1603947     3.9476805     
  0.335   1.6206E44   5.9383E43   5.419729      1.4270519     
  0.427   2.3229E44   9.2132E43   42.291        7.449612      
  0.644   6.3996E44   3.5555E44   5.038355      24.317467     
  0.193   5.6606E43   1.9112E43   16.067701     1.8792108     
  0.381   9.2293E44   1.3909E44   10.286066     3.086752      
  0.172   6.3224E43   1.7104E43   18.279673     2.056994      
  0.468   2.283E44    1.0437E44   38.553535     10.950767     
  0.448   4.8032E44   2.5818E44   40.918053     9.257171      
  0.434   2.3136E44   9.5E43      14.00828      6.4058094     
  0.412   4.0105E44   1.1523E44   10.63693      4.222224      
  0.616   9.3842E44   2.6767E44   10.484381     15.424005     
  0.438   2.2215E44   1.0419E44   26.593634     7.469705      
  0.441   3.3065E44   1.2025E44   10.438616     4.931526      
  0.363   5.794E44    1.1094E44   5.1756496     1.9787202     
  0.603   9.1974E44   3.7458E44   89.50515      38.50972      
  0.561   7.3671E44   2.3178E44   47.203102     25.167065     
  0.062   1.7986E43   3.5522E42   7.0977764     1.1133964     
  0.126   1.9748E43   9.1726E42   35.73136      2.1353662     
  0.509   2.2791E44   1.3314E44   13.215021     8.502326      
  0.275   7.3171E43   3.5157E43   22.551065     2.812731      
  0.517   6.4707E44   3.1247E44   6.868952      5.9061856     
  0.472   3.0181E44   1.3043E44   9.202963      4.168534      
  0.369   1.62E44     6.9513E43   47.70652      4.6409974     
  0.14    3.2772E43   1.22E43     9.294493      2.536966      
  0.356   1.23E44     6.5531E43   6.136713      1.7884797     
  0.613   1.2473E45   4.087E44    5.648554      26.668432     
  0.227   2.72E44     1.4358E44   5.1146297     1.5650265     
  0.103   2.8011E43   9.1674E42   23.405344     1.7113535     
  0.091   1.9136E43   1.0925E43   6.029928      1.2793812     
  0.081   2.3218E43   6.8183E42   11.048815     1.5700432     
  0.206   6.4136E43   3.2137E43   5.9231434     1.6655655     
  0.231   1.4259E44   4.801E43    35.91442      5.3052816     
  0.054   6.8144E43   3.1652E43   11.948858     1.4743418     
  0.368   2.3644E44   8.6138E43   60.20034      5.0600176     
  0.218   8.534E43    3.9235E43   13.154001     1.9771787     
  0.259   2.1172E44   7.9633E43   18.249163     2.536866      
  0.429   3.3396E44   1.3819E44   70.86357      8.906558      
  0.169   1.0963E44   6.7587E43   8.135115      1.7517215     
  0.495   5.5859E44   1.8194E44   194.47462     31.147522     
  0.414   2.6097E44   1.1005E44   31.093851     14.64608      
  0.053   1.1917E43   4.4266E42   11.353914     1.3128523     
  0.202   7.7512E43   2.7808E43   23.649424     3.3304005     
  0.526   6.0403E44   2.2701E44   20.04925      11.289705     
  0.604   6.564E44    3.3885E44   7.0977764     10.995924     
  0.064   1.3831E43   3.8674E42   9.462297      1.4988499     
  0.221   1.7298E44   5.19E43     43.984306     2.7595685     
  0.461   4.0744E44   2.5811E44   69.933014     11.172906     
  0.596   3.1576E44   1.9936E44   8.989393      13.195346     
  0.614   1.802E45    4.8277E44   5.496004      14.265915     
  0.524   5.4913E44   2.0296E44   16.159231     11.923026     
  0.522   6.8441E44   2.5019E44   79.68095      22.733585     
  0.418   4.4367E44   1.6086E44   18.706812     4.324988      
  0.36    2.9099E44   1.0513E44   9.843672      2.2597456     
  0.305   6.788E43    4.6968E43   25.78512      2.894781      
  0.185   3.8338E43   2.4156E43   5.7095737     1.3144585     
  0.192   1.5576E44   4.4714E43   14.404909     1.8444222     
  0.058   5.6071E43   2.9082E43   10.0114765    1.5365967     
  0.057   1.7307E43   4.4877E42   26.776693     1.9530783     
  0.219   9.0856E43   3.5203E43   61.32921      3.574545      
  0.218   2.8851E44   5.5606E43   64.85311      3.1792877     
  0.116   2.8701E43   1.0116E43   7.6774654     1.055349      
  0.06    8.2517E42   2.9759E42   6.060438      1.3571197     
  0.134   3.8932E43   1.2198E43   14.618479     2.4825764     
  0.605   4.2671E44   2.2199E44   5.08412       13.466088     
  0.058   1.3462E43   3.8615E42   16.250761     1.6194026     
  0.596   3.5428E44   1.9675E44   27.630972     24.952137     
  0.08    1.4746E43   5.9278E42   25.281706     1.9588503     
  0.49    4.5396E44   1.8947E44   13.062471     9.639986      
  0.131   4.1519E43   1.3726E43   44.823326     2.509821      
  0.485   4.136E44    1.6055E44   10.301321     7.2072167     
  0.246   2.2463E44   6.7246E43   64.76158      3.3221428     
  0.495   4.6014E44   1.8107E44   6.014673      6.4251037     
  0.271   9.3551E43   4.0225E43   6.060438      1.682676      
  0.359   1.6605E44   8.0133E43   26.0292       3.1704268     
  0.112   1.8031E43   8.0659E42   5.3587093     1.1879854     
  0.444   4.3431E44   1.5043E44   6.5791073     3.3987455     
  0.475   7.9153E44   2.0738E44   10.240301     5.2320776     
  0.169   4.8018E43   1.5874E43   7.84527       1.3500282     
  0.196   5.9334E43   2.0551E43   9.569082      1.6349797     
  0.083   1.03E43     4.5518E42   11.231874     1.3965564     
  0.305   2.324E44    1.1411E44   7.1587963     1.6740813     
  0.347   1.4143E44   6.3427E43   22.642595     2.8782454     
  0.132   5.6734E43   3.0874E43   9.614847      1.4103738     
  0.131   8.5593E43   1.6494E43   21.071333     2.2812448     
  0.185   8.1624E43   3.6953E43   5.08412       1.3700732     
  0.459   4.6794E44   1.5921E44   16.95249      8.747589      
  0.584   4.2493E44   2.4194E44   5.541769      8.43718       
  0.51    2.1057E44   1.075E44    27.127558     11.917926     
  0.252   1.7221E44   4.6258E43   65.85994      3.539895      
  0.214   1.2508E44   2.8173E43   60.27662      3.3490682     
  0.587   4.3075E44   1.8375E44   6.090948      104.05481     
  0.577   6.5496E44   2.2095E44   8.714804      13.158766     
  0.265   1.0678E44   3.9678E43   13.687925     2.0790231     
  0.318   1.6218E44   8.4042E43   9.340258      2.1690614     
  0.183   6.7981E43   2.9653E43   30.071768     2.6105678     
  0.25    1.3745E44   5.8978E43   8.623274      1.6566933     
  0.48    2.7375E44   1.2033E44   43.5114       11.8360615    
  0.227   1.6084E44   5.154E43    18.066103     2.3647435     
  0.203   7.4106E43   2.3382E43   6.197733      1.3861982     
  0.575   4.5541E44   1.8326E44   10.301321     22.81384      
  0.347   1.7905E44   6.7548E43   14.267614     2.3024673     
  0.328   2.5046E44   6.804E43    21.910357     2.8953266     
  0.511   6.9433E44   1.834E44    50.635475     65.12485      
  0.455   3.7513E44   1.1784E44   19.37803      6.4602613     
  0.216   1.1804E44   5.6913E43   9.813162      3.3241823     
  0.15    7.3599E43   1.6045E43   12.238703     1.9796284     
  0.304   1.5297E44   6.1407E43   13.077726     2.866246      
  0.131   5.1475E43   2.115E43    10.484381     1.5159128     
  0.376   5.4642E44   1.0915E44   6.212988      1.9462347     
  0.57    7.1007E44   2.565E44    16.662645     23.172832     
  0.606   6.8654E44   3.3396E44   7.5401707     12.045916     
  0.255   1.4101E44   4.025E43    13.260786     1.9552993     
  0.267   5.7352E43   2.7623E43   10.438616     1.9098127     
  0.585   7.3984E44   2.1597E44   6.289263      11.343434     
  0.358   3.1214E44   8.7773E43   13.73369      2.5195158     
  0.249   7.3288E43   2.9829E43   18.950891     2.3390384     
  0.398   1.637E44    1.3278E44   14.694754     3.5894182     
  0.356   1.3997E44   5.4605E43   13.97777      2.354947      
  0.234   9.3795E43   3.2263E43   47.081062     3.3672        
  0.359   2.902E44    7.9938E43   29.598864     6.164189      
  0.602   7.1782E44   2.9507E44   9.691122      20.528267     
  0.433   8.4701E44   1.6455E44   11.491209     4.299957      
  0.512   4.1299E44   1.4565E44   39.438324     17.441317     
  0.348   1.6778E44   6.3466E43   26.761438     3.017484      
  0.538   2.9369E44   1.3042E44   26.0292       13.959215     
  0.576   4.7711E44   1.6823E44   5.9078884     10.538906     
  0.176   2.3794E43   1.2846E43   9.660612      1.4437596     
  0.325   1.0863E44   4.3944E43   11.765799     2.1746922     
  0.511   4.3069E44   1.4097E44   5.9536533     5.062368      
  0.221   7.9703E43   3.9498E43   19.301756     2.3308063     
  0.576   7.854E44    2.0119E44   6.9452267     9.701389      
  0.273   7.5624E43   3.1899E43   12.330233     2.2943075     
  0.069   6.8025E43   8.2109E42   11.826818     1.657484      
  0.072   1.7052E43   3.9134E42   23.985033     2.022649      
  0.472   1.7169E44   8.6286E43   5.7095737     4.0892906     
  0.306   1.682E44    5.0866E43   21.834082     2.4589863     
  0.375   2.4979E44   7.6639E43   6.838442      2.2690823     
  0.397   2.5829E44   8.0329E43   20.934038     3.9544392     
  0.434   1.644E44    7.5045E43   96.64448      14.106512     
  0.635   5.1611E44   2.5591E44   23.954523     25.104485     
  0.395   3.2982E44   9.7298E43   21.605257     3.79375       
  0.23    1.913E44    4.3328E43   16.40331      2.1141899     
  0.21    4.666E43    1.9002E43   8.623274      1.4176496     
  0.472   2.3907E44   9.5144E43   67.2634       20.897526     
  0.188   1.6067E43   1.1357E43   10.347086     1.5489215     
  0.578   3.0699E44   1.4075E44   6.136713      34.235657     
  0.235   8.3732E43   2.9822E43   13.504866     6.908535      
  0.189   8.8529E43   2.0509E43   42.91646      2.820849      
  0.278   6.2924E43   3.0493E43   18.386457     2.6108015     
  0.324   1.0456E44   4.5973E43   15.945662     2.2575207     
  0.585   3.8292E44   1.5154E44   152.09631     45.856667     
  0.189   2.5148E44   3.3454E43   52.8627       2.9288552     
  0.461   3.397E44    1.0554E44   8.455469      4.611861      
  0.187   1.0392E44   2.2552E43   49.689667     3.4043624     
  0.128   2.5314E43   8.7798E42   36.37207      2.437996      
  0.165   5.2124E44   4.6869E43   9.019903      1.8980341     
  0.613   7.6129E44   3.0974E44   6.3502827     31.707191     
  0.634   9.7372E44   4.2284E44   7.341856      14.630207     
  0.368   1.556E44    6.0602E43   10.75897      2.2693067     
  0.132   4.4614E43   1.0761E43   6.9452267     1.4599096     
  0.459   5.1185E44   2.2411E44   14.435419     5.734927      
  0.517   4.2245E44   1.5216E44   22.56632      18.538408     
  0.492   2.1082E44   9.74E43     13.870985     34.583176     
  0.422   1.876E44    7.7501E43   59.45285      7.5562344     
  0.256   1.6608E44   3.9471E43   11.308149     2.0913029     
  0.521   3.0101E44   1.2569E44   9.157198      9.215424      
  0.496   3.2741E44   1.6256E44   10.774225     5.719968      
  0.423   3.2355E44   1.0131E44   30.804007     5.7532187     
  0.165   4.2192E43   1.3691E43   61.283447     2.8271031     
  0.616   3.5821E44   1.6762E44   5.2214146     11.953437     
  0.451   4.6413E44   1.1824E44   14.648989     6.865603      
  0.074   1.0265E43   3.1281E42   5.7705936     1.2801542     
  0.18    3.4342E43   1.4461E43   11.887838     2.9582632     
  0.171   3.7899E43   2.5374E43   6.258753      1.5747243     
  0.314   8.6644E43   3.9322E43   10.392851     2.1366425     
  0.405   5.1784E44   1.1622E44   13.382826     3.8886046     
  0.505   3.3604E44   1.1994E44   9.172453      6.628223      
  0.192   1.3011E44   6.9229E43   12.299723     1.5439812     
  0.257   1.2754E44   3.8811E43   14.984598     2.259804      
  0.223   8.5281E43   4.6721E43   5.2824345     1.2799776     
  0.106   4.3779E43   8.5249E42   8.15037       1.291741      
  0.183   6.2072E43   1.8747E43   14.237104     2.199645      
  0.292   5.8812E43   3.1743E43   8.379194      2.0669918     
  0.403   4.6443E44   1.027E44    13.245531     3.3306916     
  0.578   1.3731E45   2.4924E44   6.151968      10.109493     
  0.623   4.7451E44   2.407E44    7.357111      19.672714     
  0.283   1.3216E44   4.2256E43   11.247129     2.3019161     
  0.253   1.0747E44   3.2554E43   33.138016     2.9900763     
  0.184   1.7375E44   2.7567E43   29.507334     2.3390791     
  0.413   6.038E44    1.4266E44   8.974138      3.4687288     
  0.526   3.0272E44   1.2111E44   7.204561      7.809364      
  0.055   3.5374E43   4.1359E42   24.671507     1.8907586     
  0.123   2.8145E43   1.3001E43   9.080923      1.2739915     
  0.342   1.2727E44   5.0657E43   10.682695     2.2146204     
  0.677   8.8351E44   3.6182E44   54.80008      64.823235     
  0.074   9.9919E42   3.4456E42   7.265581      1.2906662     
  0.569   6.1745E44   1.7734E44   7.1130314     11.060776     
  0.617   4.6159E44   1.7777E44   28.54627      34.556774     
  0.221   1.1161E44   2.805E43    13.184511     1.765174      
  0.458   3.2611E44   1.0531E44   23.695189     7.7503753     
  0.454   4.7265E44   1.1823E44   19.46956      6.78524       
  0.265   1.039E44    3.6245E43   30.193808     3.161554      
  0.19    5.2907E43   1.7661E43   22.673105     2.068404      
  0.509   4.6734E44   1.8175E44   13.169256     7.8896112     
  0.413   1.6675E44   1.1096E44   27.875051     5.3227625     
  0.434   2.4806E44   8.9031E43   29.995493     6.6833224     
  0.325   5.1326E44   8.1742E43   86.850784     4.6726766     
  0.199   5.1236E43   1.7711E43   29.903963     2.6537077     
  0.442   2.4225E44   1.0422E44   24.549467     7.924113      
  0.539   2.4405E44   1.2048E44   5.496004      7.1025186     
  0.602   6.2545E44   1.7438E44   12.665842     18.386242     
  0.063   2.0659E43   9.9931E42   6.014673      1.1739154     
  0.344   1.1359E44   5.3355E43   5.694319      1.8556803     
  0.344   2.9478E44   7.357E43    12.025133     2.1334267     
  0.134   3.0702E43   9.7337E42   15.732092     1.5190681     
  0.228   1.7826E44   8.5346E43   12.009878     2.0764716     
  0.144   1.1881E44   2.0218E43   10.6216755    1.8816358     
  0.148   6.7849E43   1.5789E43   45.433525     2.4086082     
  0.604   3.6672E44   1.5536E44   7.921545      14.216398     
  0.496   3.5149E44   1.6194E44   8.958883      6.260654      
  0.081   1.4904E43   3.6644E42   5.526514      1.3285837     
  0.408   2.0413E44   1.1632E44   11.079325     3.3918161     
  0.105   2.7369E43   7.0277E42   14.511694     1.9625025     
  0.243   1.5406E44   3.9394E43   53.83902      4.184382      
  0.256   6.4836E43   3.832E43    8.013075      1.7448161     
  0.471   2.2227E44   1.0158E44   5.3129444     3.5281925     
  0.571   8.2604E44   2.4683E44   47.87432      26.538708     
  0.567   5.5732E44   2.7136E44   13.215021     17.689936     
  0.284   1.3257E44   4.5451E43   29.598864     2.9793496     
  0.32    1.0054E44   5.4435E43   7.418131      1.9949323     
  0.18    3.1742E43   1.5656E43   13.138746     1.5379919     
  0.063   1.1092E43   2.9093E42   22.215456     1.6122808     
  0.283   1.4215E44   5.6709E43   65.11244      3.7963803     
  0.066   1.6832E43   2.9923E42   9.386023      1.4312804     
  0.429   2.3552E44   1.2187E44   27.203833     6.086682      
  0.565   3.9956E44   1.6014E44   12.650587     58.07849      
  0.234   1.2E44      3.824E43    10.240301     8.385437      
  0.559   4.5886E44   1.9793E44   55.028908     23.612375     
  0.144   2.1354E43   9.165E42    21.513727     2.2085316     
  0.235   7.7118E43   3.0713E43   11.597994     1.732485      
  0.238   4.7847E43   2.0643E43   16.937235     2.222705      
  0.218   5.6972E43   3.2853E43   20.781488     2.4846854     
  0.215   1.3903E44   2.9155E43   19.057676     2.103686      
  0.565   6.5279E44   2.0873E44   7.1435413     12.313705     
  0.356   1.775E44    5.9829E43   8.409704      1.9700602     
  0.548   9.4134E44   4.0651E44   7.891035      9.356484      
  0.177   9.2882E43   1.9442E43   33.702454     2.8650599     
  0.434   2.3051E44   8.6673E43   16.128721     5.298623      
  0.601   5.2003E44   1.9922E44   5.1451397     10.199766     
  0.172   7.5207E43   3.1125E43   13.306551     1.4113761     
  0.613   4.4685E44   2.3546E44   5.557024      18.215958     
  0.63    1.1118E45   3.1032E44   10.560656     19.389341     
  0.613   5.1562E44   2.455E44    5.8468685     12.454619     
  0.384   2.7268E44   8.6973E43   9.263983      2.4230955     
  0.282   1.3069E44   5.2827E43   31.063341     2.718218      
  0.405   1.96E44     6.9277E43   14.054045     5.932805      
  0.448   1.8249E44   1.2635E44   14.282869     5.268049      
  0.234   1.0488E44   3.6551E43   7.6622105     1.6477187     
  0.585   4.4379E44   1.6978E44   11.567484     17.287317     
  0.654   9.292E44    2.623E44    13.459101     30.543486     
  0.505   3.1822E44   1.8353E44   47.142082     12.899665     
  0.554   4.3041E44   2.2441E44   9.477552      9.41187       
  0.599   7.2414E44   2.4558E44   6.289263      13.226435     
  0.188   1.0319E44   4.3164E43   44.365677     2.947888      
  0.396   2.0075E44   7.8798E43   11.277639     3.164913      
  0.358   1.281E44    4.9959E43   51.001595     3.6601477     
  0.357   2.2773E44   7.9112E43   147.06216     10.709033     
  0.241   4.9598E43   2.3675E43   6.3807926     1.3801003     
  0.364   6.7879E45   3.7889E44   9.630102      2.280462      
  0.48    3.9141E44   1.2471E44   11.7963085    15.281938     
  0.191   6.3673E43   1.8816E43   33.855003     2.4010732     
  0.611   4.6639E44   1.7458E44   8.623274      28.455532     
  0.596   5.9407E44   1.9457E44   5.8773785     10.867255     
  0.395   1.0478E44   5.6552E43   11.18611      3.0457625     
  0.128   2.3403E43   8.2656E42   8.897863      1.3394657     
  0.604   4.4442E44   1.682E44    6.5485973     16.21396      
  0.258   1.0381E44   5.2139E43   11.8115635    2.2070198     
  0.092   1.5535E43   5.5239E42   6.4418125     1.0454283     
  0.419   2.2791E44   7.9227E43   18.325438     6.4408994     
  0.43    2.7643E44   1.0094E44   12.925177     4.8752465     
  0.248   7.2251E43   2.8604E43   8.531744      1.6725383     
  0.207   5.2918E43   2.0736E43   9.599592      2.00974       
  0.136   3.4117E43   1.0055E43   14.282869     1.8610765     
  0.07    1.1784E43   3.3294E42   6.670637      1.7719275     
  0.165   3.7407E43   1.406E43    5.3281994     1.3469495     
  0.204   4.8881E43   1.8228E43   12.589567     2.323649      
  0.354   2.1493E44   6.9109E43   23.832483     2.7324677     
  0.091   1.2808E43   3.9683E42   20.07976      2.075688      
  0.424   5.9964E44   1.5395E44   18.706812     7.8113008     
  0.617   6.4784E44   1.939E44    11.09458      16.849028     
  0.402   1.3456E44   6.0821E43   12.559057     3.81183       
  0.243   1.9252E44   3.934E43    59.9105       3.6811917     
  0.276   1.2971E44   3.7281E43   19.164461     2.8745995     
  0.128   3.0513E43   8.4386E42   6.3502827     1.3811222     
  0.095   1.252E43    4.0686E42   14.587969     1.3673205     
  0.354   1.3695E44   5.3426E43   7.265581      1.7514073     
  0.565   4.6873E44   1.7197E44   5.9536533     7.6920414     
  0.263   1.3481E44   3.418E43    57.912094     3.3976283     
  0.143   1.5202E44   2.0134E43   38.828125     2.8238215     
  0.219   9.4145E43   2.4758E43   62.702156     3.2270586     
  0.164   9.2923E43   1.7021E43   73.77727      3.0449526     
  0.238   2.2244E44   3.7726E43   116.491196    4.4694576     
  0.378   2.476E44    6.8839E43   5.587534      1.6158469     
  0.402   1.1584E44   6.0834E43   51.825363     5.8815365     
  0.444   4.1465E44   1.1385E44   5.2519245     3.176868      
  0.201   4.1277E43   1.5676E43   16.601625     5.6333036     
  0.064   6.5804E42   2.2667E42   8.8368435     1.1986206     
  0.576   3.5255E44   1.3643E44   8.043585      51.148026     
  0.467   4.158E44    1.1577E44   8.043585      4.598734      
  0.59    8.4616E44   2.1801E44   5.05361       7.933927      
  0.367   1.6402E44   5.3818E43   49.46084      4.8059516     
  0.616   2.6322E44   1.3144E44   5.1909046     11.35232      
  0.59    4.0691E44   1.531E44    35.76187      24.024775     
  0.336   1.7388E44   7.4102E43   8.363939      1.7379367     
  0.146   1.0239E44   1.7235E43   36.81447      2.4572568     
  0.478   2.2083E44   1.1727E44   19.92721      25.319496     
  0.371   2.1734E44   6.6096E43   53.1678       5.5551624     
  0.135   3.7624E43   1.0202E43   22.306986     3.3514915     
  0.613   5.7052E44   2.3943E44   9.584337      17.376293     
  0.116   2.1795E43   6.038E42    21.788317     1.7846314     
  0.387   1.5814E44   5.8858E43   17.730494     3.5269325     
  0.599   7.731E44    2.1217E44   6.060438      11.539262     
  0.213   4.7735E43   1.8328E43   18.005083     1.9978985     
  0.112   4.4793E43   1.1398E43   37.31788      2.14477       
  0.617   4.7446E44   1.6075E44   67.55324      63.107327     
  0.595   3.1743E44   1.367E44    58.918922     32.754852     
  0.624   3.3761E44   2.3201E44   8.394449      15.266917     
  0.367   1.7017E44   5.7242E43   5.2519245     1.8762336     
  0.466   1.6186E44   7.5661E43   8.21139       4.5814853     
  0.088   1.967E43    4.6759E42   11.09458      1.3941811     
  0.087   7.5535E42   3.3668E42   15.076128     1.8402392     
  0.544   3.3806E44   1.4685E44   8.21139       9.595508      
  0.511   5.0095E44   1.9555E44   9.889437      8.502947      
  0.571   3.9779E44   1.9053E44   6.212988      9.463017      
  0.197   2.4486E43   1.3369E43   5.0231        1.4899257     
  0.06    3.0577E42   1.4143E42   6.3350277     1.1784583     
  0.61    5.8508E44   2.4415E44   6.258753      20.39605      
  0.391   2.3418E44   1.1685E44   7.296091      2.7002594     
  0.638   5.934E44    1.9276E44   23.435854     45.806335     
  0.075   2.8007E43   5.9313E42   27.203833     2.1862855     
  0.072   1.2131E43   5.5812E42   11.735289     1.7469591     
  0.308   1.2566E44   5.4677E43   41.11637      3.230515      
  0.364   3.9318E44   1.0676E44   15.411737     3.2892437     
  0.279   2.1283E44   5.4069E43   10.331831     1.9765484     
  0.067   1.2357E43   4.3213E42   5.465494      1.1603384     
  0.358   3.3803E44   9.782E43    48.19468      6.0706325     
  0.254   1.388E44    4.2258E43   63.342865     3.6250648     
  0.221   8.6748E43   4.9233E43   29.873453     2.7324927     
  0.232   1.6991E44   4.4419E43   85.965996     4.6780677     
  0.351   5.1054E44   1.2724E44   62.580116     4.3393655     
  0.558   4.9457E44   2.4658E44   9.309748      16.877756     
  0.193   9.4927E43   3.0768E43   47.84381      3.76412       
  0.08    3.1459E43   1.7028E43   8.867353      1.5073023     
  0.201   4.8109E43   2.3556E43   5.9536533     1.627895      
  0.11    1.481E43    8.3431E42   22.41377      1.692381      
  0.233   2.0777E44   9.864E43    18.310183     2.9017746     
  0.111   5.3615E43   1.1248E43   60.74952      2.7328944     
  0.31    2.3758E44   6.9315E43   15.076128     2.775397      
  0.082   1.9799E43   6.7308E42   8.196135      1.3567395     
  0.066   3.3831E43   1.4886E43   9.233473      1.5491564     
  0.071   1.8586E43   1.2043E43   8.15037       1.4472034     
  0.233   2.3491E44   6.5245E43   9.340258      2.0193682     
  0.076   8.447E43    1.1836E43   58.583313     1.9546274     
  0.576   5.4565E44   3.6861E44   21.925611     16.870895     
  0.247   3.4804E44   8.9319E43   81.145424     4.5086155     
  0.535   3.8133E44   2.2465E44   19.637365     12.81174      
  0.423   3.0194E44   9.4779E43   5.9841633     3.466777      
  0.306   1.7475E44   5.4324E43   5.511259      1.6270758     
  0.193   6.5402E43   2.8436E43   24.885077     2.5083072     
  0.159   2.3327E44   3.7112E43   82.18276      2.6118693     
  0.6     4.3472E44   2.3778E44   7.830015      19.147905     
  0.163   1.2484E44   7.8196E43   6.4265575     1.4705623     
  0.061   1.3916E43   4.6235E42   14.359144     1.1677887     
  0.117   9.4831E43   2.089E43    51.566025     4.564831      
  0.071   1.4419E43   3.6911E42   8.653784      1.3771756     
  0.347   1.1228E44   4.6471E43   27.997091     2.9885838     
  0.087   9.4242E43   1.0368E43   30.712477     3.6540546     
  0.075   2.284E43    9.2298E42   10.362341     1.6960646     
  0.353   3.6393E44   8.2648E43   5.9383984     1.6985555     
  0.624   3.4108E45   4.9387E44   6.9757366     24.58942      
  0.199   9.2987E43   2.0768E43   50.849045     3.0204904     
  0.595   5.6451E44   3.2145E44   5.9689083     31.745296     
  0.352   5.089E44    2.0769E44   5.3434544     1.5886778     
  0.597   5.0356E44   2.9378E44   8.08935       10.940063     
  0.194   6.9458E43   1.9834E43   5.3587093     1.6353436     
  0.355   2.9144E44   1.6241E44   17.791513     2.4221175     
  0.437   2.3568E44   9.078E43    23.008715     6.5186324     
  0.585   6.6051E44   2.4588E44   9.813162      41.1968       
  0.442   3.4555E44   1.9866E44   6.9909916     3.5550287     
  0.551   4.6716E44   1.3382E44   11.369169     9.941486      
  0.428   1.5146E44   6.0493E43   8.730059      3.7726572     
  0.574   5.6337E44   2.2713E44   10.0267315    35.17125      
  0.187   2.9425E43   1.3035E43   13.443846     1.7553157     
  0.618   4.7774E44   1.4947E44   25.434256     25.492798     
  0.302   1.3991E44   3.9096E43   32.817665     2.7513108     
  0.348   1.2758E44   5.0288E43   44.487717     3.5912294     
  0.584   4.3063E44   1.3426E44   14.999853     15.331407     
  0.477   3.2094E44   1.037E44    70.3449       13.320635     
  0.112   1.8252E43   5.8241E42   15.213423     1.7457938     
  0.573   3.882E44    1.4479E44   6.106203      8.976246      
  0.421   2.1068E44   8.8066E43   39.941734     13.131749     
  0.284   7.2154E43   3.1086E43   10.255556     2.1925702     
  0.576   3.7991E44   1.4221E44   53.32035      46.906963     
  0.468   2.9902E44   1.4098E44   5.1603947     3.3891542     
  0.337   1.0945E44   3.9378E43   14.389654     2.329343      
  0.312   1.8789E44   5.6224E43   56.127266     3.9835312     
  0.359   9.461E43    4.1794E43   7.4944057     2.0356233     
  0.182   8.8756E43   4.0068E43   6.197733      1.5512549     
  0.07    8.2479E42   2.4934E42   5.9383984     1.0067769     
  0.367   2.1362E44   6.7461E43   22.886675     3.1881685     
  0.464   2.6845E44   8.8671E43   27.646227     7.9418526     
  0.195   6.5406E43   1.9029E43   9.721632      1.572167      
  0.565   9.2162E44   2.0019E44   11.597994     11.345213     
  0.136   2.7194E43   8.3578E42   9.523317      1.4207158     
  0.481   3.5192E44   1.1227E44   20.583174     11.161832     
  0.608   6.8238E44   2.1621E44   8.546999      52.100945     
  0.105   4.4217E43   6.3962E42   43.343597     2.2169635     
  0.449   4.8381E44   2.1268E44   8.18088       4.3675103     
  0.342   1.3557E44   4.325E43    46.211533     3.4305065     
  0.195   6.4537E43   2.1041E43   6.746912      1.6188215     
  0.344   9.2198E43   3.8468E43   20.369604     2.7579696     
  0.125   2.1447E43   7.6946E42   9.294493      1.6387883     
  0.259   1.0593E44   2.9629E43   26.929243     2.5855772     
  0.595   3.3604E44   1.5819E44   5.068865      13.091402     
  0.524   9.313E44    1.9595E44   19.210226     47.15386      
  0.579   3.9388E44   1.7794E44   80.138596     43.948227     
  0.15    2.7931E43   9.4866E42   7.479151      1.0817212     
  0.197   1.0297E44   2.7887E43   10.484381     1.9588455     
  0.139   2.1315E43   8.8789E42   28.30219      2.372623      
  0.622   3.9796E44   1.5387E44   21.590002     48.800255     
  0.064   1.1994E43   2.9318E42   5.1909046     1.0969602     
  0.284   1.0306E44   3.8222E43   40.460403     3.3894613     
  0.446   3.0028E44   1.2782E44   5.8468685     3.5242655     
  0.638   8.2561E44   2.9265E44   19.43905      60.277008     
  0.512   6.0123E44   1.9249E44   5.1909046     5.494755      
  0.571   4.6485E44   2.5981E44   7.7232304     7.336619      
  0.173   1.9223E43   9.4603E42   5.8163586     1.5018184     
  0.163   6.1549E43   1.5431E43   5.068865      1.2853082     
  0.073   2.5459E43   3.5348E42   27.600462     2.3993168     
  0.297   7.803E43    3.1535E43   19.43905      2.59738       
  0.139   3.7347E43   9.7783E42   36.95176      2.0671518     
