# z       Lx0124      eLx         LAMBDACHISQ   LAMBDACHISQE  
  0.65    6.0709E44   2.4795E44   15.945662     28.832941     
  0.207   4.9526E43   3.2897E43   8.638529      2.0273433     
  0.462   2.5434E44   1.2273E44   24.000288     7.2991395     
  0.547   6.2345E44   3.355E44    5.8316135     7.401425      
  0.52    4.7134E44   2.336E44    7.418131      13.355478     
  0.123   4.9098E43   1.3985E43   21.071333     1.6769303     
  0.117   4.8902E43   1.1071E43   10.286066     1.6080596     
  0.126   2.4761E43   9.8261E42   6.670637      1.2740911     
  0.604   7.3548E44   2.4601E44   15.442247     27.951857     
  0.219   9.2829E43   3.7724E43   6.3655376     1.5044545     
  0.598   1.8138E45   4.0246E44   9.294493      16.274893     
  0.259   2.1325E44   5.8018E43   5.8621235     1.5411631     
  0.453   4.7785E44   2.3175E44   35.65509      7.710162      
  0.519   5.0476E44   2.7562E44   19.362776     15.283306     
  0.387   2.5121E44   9.0707E43   18.127123     5.4466796     
  0.261   1.1017E44   4.5169E43   70.08556      3.5312207     
  0.22    5.8175E43   2.1913E43   14.603224     2.5014637     
  0.28    1.8612E44   6.2424E43   85.55411      3.95911       
  0.292   8.9932E43   4.6516E43   11.018305     2.2926974     
  0.294   8.2953E43   4.0577E43   15.915152     2.3647237     
  0.411   5.1459E44   2.2321E44   13.779455     4.251735      
  0.123   2.9598E43   1.6759E43   10.301321     1.5276035     
  0.278   2.0119E44   6.6087E43   54.845848     4.301708      
  0.183   7.3971E43   2.3662E43   60.93258      6.7588735     
  0.492   3.8191E44   1.6975E44   11.659014     7.0543737     
  0.592   6.819E44    2.0917E44   5.9994183     36.848385     
  0.596   4.8096E44   1.8769E44   6.3655376     31.340523     
  0.135   3.0404E43   1.152E43    13.474356     1.7898394     
  0.247   6.9238E43   3.3188E43   20.064505     3.067164      
  0.139   5.7948E43   1.7219E43   6.3502827     1.2133236     
  0.208   9.957E43    3.3043E43   37.43992      2.550608      
  0.188   6.1685E43   1.8502E43   9.065668      1.7480063     
  0.098   2.4215E43   7.5906E42   7.891035      1.7541198     
  0.341   3.2362E44   8.5274E43   77.5605       5.087736      
  0.392   2.4585E44   8.4827E43   14.267614     3.0145578     
  0.124   8.7874E43   1.5312E43   29.583609     2.0837023     
  0.315   8.8449E43   4.4209E43   6.5943623     1.76067       
  0.605   4.7951E44   2.0155E44   6.3045177     15.710282     
  0.578   4.2509E44   1.784E44    9.584337      14.027639     
  0.608   5.1873E44   1.9909E44   7.84527       11.725944     
  0.614   5.8607E44   2.1897E44   6.274008      12.74431      
  0.341   1.3215E44   6.2169E43   33.443115     3.2105987     
  0.64    1.4676E45   3.517E44    5.694319      21.760477     
  0.212   6.9036E43   2.4719E43   19.43905      2.5943954     
  0.379   2.0758E44   7.3777E43   46.257294     4.730892      
  0.23    4.8855E43   2.3658E43   12.955687     2.249795      
  0.399   5.9636E44   1.3552E44   5.2976894     2.402444      
  0.111   7.4872E43   1.7348E43   12.635332     2.1360312     
  0.305   1.1458E44   4.2157E43   47.12683      3.8191051     
  0.601   3.6029E44   1.8032E44   19.2865       40.470272     
  0.561   5.1442E44   1.592E44    33.458374     17.427458     
  0.398   2.3996E44   8.1021E43   102.74647     7.853486      
  0.303   1.6547E44   5.8243E43   6.762167      1.7640048     
  0.251   6.6118E43   2.5975E43   25.205431     2.5496        
  0.492   3.4088E44   1.1171E44   9.294493      22.358238     
  0.319   1.1731E44   4.2259E43   5.7248287     1.8469229     
  0.344   8.7228E43   4.4166E43   8.013075      2.0710213     
  0.25    6.1562E43   2.7046E43   32.375267     2.842454      
  0.421   1.2951E44   5.8418E43   7.90629       3.2649143     
  0.363   3.2429E44   8.2014E43   10.270811     2.2375944     
  0.472   2.6404E44   8.9415E43   32.695625     9.532892      
  0.562   5.803E44    1.5696E44   36.17376      26.430262     
  0.593   4.3767E44   1.6454E44   21.864592     24.666958     
  0.162   3.0791E43   1.4477E43   6.3197727     1.3732961     
  0.509   4.8176E44   1.3043E44   9.675867      8.214346      
  0.576   3.1784E44   1.3549E44   20.781488     49.895004     
  0.142   2.3774E43   9.5762E42   34.449944     2.1221516     
  0.4     1.2525E44   5.4714E43   55.837418     6.3583755     
  0.55    2.3682E44   1.1165E44   60.87156      25.561428     
  0.365   1.4533E44   5.4616E43   26.395319     4.216396      
  0.278   5.7991E43   2.7521E43   5.7400837     1.4314498     
  0.601   1.6756E45   2.652E44    6.197733      50.43636      
  0.549   2.9406E44   1.2239E44   47.172592     35.288055     
  0.35    1.7104E44   5.4775E43   7.0825214     1.8024817     
  0.099   1.901E43    4.9702E42   8.348684      1.3017529     
  0.464   8.2604E44   1.4693E44   19.164461     7.1212897     
  0.367   1.3828E44   5.1736E43   8.562254      2.1002376     
  0.238   1.2017E44   3.3869E43   11.353914     2.3227396     
  0.122   4.427E43    1.6874E43   5.3739643     2.9363904     
  0.319   8.5974E43   5.8669E43   9.843672      1.8996718     
  0.362   3.5947E44   8.2181E43   18.722067     3.0305717     
  0.124   3.5369E43   7.9093E42   33.031235     2.1464963     
  0.538   5.7173E44   1.6508E44   8.440214      8.495885      
  0.201   1.2833E44   2.484E43    75.546844     3.5240722     
  0.227   6.8213E43   2.1659E43   41.40621      3.1545076     
  0.29    3.6443E44   5.9356E43   119.11505     4.5520134     
  0.46    6.6318E44   1.3127E44   12.9861965    5.064266      
  0.421   3.6557E44   9.3081E43   65.85994      8.142865      
  0.544   2.1426E44   1.0983E44   5.511259      7.634811      
  0.21    3.5829E43   1.6224E43   20.644194     1.9977387     
  0.499   2.3084E44   1.5343E44   9.675867      7.8595757     
  0.652   8.9482E44   2.4428E44   17.22708      34.47767      
  0.622   3.0427E44   2.006E44    5.679064      14.218536     
  0.518   2.3451E44   1.02E44     19.5916       44.0318       
  0.522   2.8806E44   1.0876E44   40.414642     16.63602      
  0.207   1.1836E44   2.5196E43   60.56646      2.885789      
  0.643   5.6094E44   3.1141E44   31.963385     53.066406     
  0.629   4.4142E44   1.7711E44   10.392851     23.777454     
  0.435   2.5081E44   8.1138E43   10.8505       16.464159     
  0.443   2.1681E44   1.2276E44   10.743715     4.053746      
  0.435   2.3057E44   1.0662E44   21.071333     5.698926      
  0.599   3.7491E44   1.9171E44   5.8316135     12.381696     
  0.234   1.0214E44   2.9534E43   35.04489      3.037654      
  0.12    2.1942E43   7.7068E42   5.9689083     1.1293977     
  0.427   1.7258E44   7.2632E43   15.060873     7.322042      
  0.322   2.0126E44   9.8177E43   8.897863      2.057922      
  0.595   3.7339E44   1.4118E44   9.004648      30.607683     
  0.526   2.795E44    1.1412E44   47.47769      18.5785       
  0.575   3.0281E44   1.2283E44   5.7095737     7.888298      
  0.537   3.2897E44   1.1932E44   56.554405     42.53602      
  0.43    1.6286E44   1.0822E44   5.602789      4.8802934     
  0.202   9.7977E43   4.0154E43   7.463896      1.6795626     
  0.258   9.4227E43   3.0094E43   9.782652      2.4514265     
  0.067   9.4186E42   2.3964E42   8.882608      1.2155876     
  0.626   4.3017E44   2.4397E44   5.1451397     18.341867     
  0.436   1.5563E44   6.8831E43   33.473625     13.852907     
  0.557   1.0176E45   2.2791E44   8.775824      9.754067      
  0.172   3.8217E43   1.3847E43   15.152403     1.615324      
  0.133   3.4737E43   1.0088E43   11.842073     1.878637      
  0.45    2.8709E44   9.6503E43   9.630102      4.2691383     
  0.149   3.5924E43   1.1381E43   14.557459     2.1541226     
  0.517   4.3638E44   1.9658E44   5.7705936     8.485385      
  0.289   1.7237E44   4.7259E43   22.200201     2.7224448     
  0.391   1.1296E44   5.7849E43   34.282143     6.2955165     
  0.244   2.0192E44   3.9283E43   19.37803      4.5463862     
  0.351   4.0843E43   3.3422E43   6.716402      1.7164636     
  0.23    2.9715E43   1.6957E43   12.589567     2.6386023     
  0.271   1.1663E44   3.7107E43   5.419729      1.6719153     
  0.105   5.0707E43   1.2702E43   11.735289     1.577109      
  0.106   2.9226E43   8.0184E42   9.828417      1.7639841     
  0.372   1.974E44    1.0789E44   5.3434544     1.6925656     
  0.139   4.0032E43   1.2563E43   17.150805     2.3434043     
  0.459   3.7793E44   1.8705E44   8.2266445     11.852356     
  0.321   1.1551E44   4.5056E43   5.8011036     1.7037644     
  0.409   1.9853E44   9.2319E43   32.787155     6.83003       
  0.443   1.9802E44   8.7046E43   6.762167      3.5068705     
  0.34    1.8719E44   5.7912E43   116.704765    4.7552376     
  0.267   1.0904E44   4.419E43    18.310183     2.489247      
  0.278   1.8031E44   8.7605E43   7.7537403     1.6223757     
  0.126   2.2058E43   9.7731E42   6.136713      1.7194039     
  0.501   5.167E44    1.72E44     112.12827     20.196348     
  0.347   2.3759E44   7.6991E43   19.194971     2.5852327     
  0.229   7.5994E43   2.7464E43   21.834082     2.8531537     
  0.495   3.3538E44   1.3309E44   11.979368     6.542121      
  0.624   5.4061E44   2.2081E44   6.5028324     33.529945     
  0.349   3.4543E44   1.1869E44   20.461134     3.0405157     
  0.332   1.832E44    8.2621E43   13.489611     2.4873645     
  0.067   1.4526E43   3.3779E42   22.398516     1.6333655     
  0.363   1.7394E44   6.4239E43   35.88391      4.3073125     
  0.576   3.0214E44   1.4765E44   7.1893063     10.111662     
  0.111   3.1461E43   1.4236E43   13.61165      1.3539609     
  0.165   3.3511E43   1.2951E43   7.87578       1.7729336     
  0.095   1.4824E43   6.6215E42   16.89147      2.0504436     
  0.091   1.8125E44   1.9734E43   10.133516     1.8777496     
  0.479   3.1664E44   1.1568E44   8.11986       5.0008135     
  0.146   1.3178E44   2.1198E43   57.317154     2.5597396     
  0.31    6.0292E44   8.6411E43   105.72118     4.5313754     
  0.582   4.1814E44   1.5088E44   7.433386      13.179627     
  0.284   1.121E44    3.6589E43   33.473625     3.0052211     
